rowname	sample_type	exercise	metric	Estimate	Std. Error	df	t value	Pr(>|t|)
1	gut	0	faith_pd	-0.09366850682776896	0.040429029554126	10.808132961547596	-2.316862607408532	0.0411913753544222
2	gut	0	observed_features	-1.5738309151813719	0.5285864010145392	8.460598949709127	-2.9774336081303807	0.0166001842896132
3	gut	0	shannon	-0.04107429989683902	0.01568063089999372	10.21226200852396	-2.619429036930872	0.025214743949416443
4	gut	1	faith_pd	-0.015107545864105908	0.03547303311417325	22.099853322672715	-0.42588818992390276	0.6743084625248192
5	gut	1	observed_features	0.578885745122779	0.5862677668203372	57.12171900418858	0.9874084469327129	0.32760662699103393
6	gut	1	shannon	-0.0032004010013884534	0.01281711132270268	9.290472470896832	-0.24969752706443693	0.8082549541536548
7	oral	0	faith_pd	0.016098337920749547	0.02579076577783461	55.78171637083267	0.6241899934039555	0.5350473988815161
8	oral	0	observed_features	0.32359287989809676	0.6492283313235598	9.251534794969833	0.49842692360390206	0.6298177319053526
9	oral	0	shannon	0.017677501943244578	0.013876017718250243	10.261412100380033	1.2739607502802828	0.23077452923888545
10	oral	1	faith_pd	0.038941571241197355	0.040551551771041625	8.585917571528658	0.9602979304236151	0.36316562477895964
11	oral	1	observed_features	0.8175754847432251	0.7034038667582467	10.209038351661905	1.1623130371903656	0.2715593236735767
12	oral	1	shannon	0.006589136759537422	0.01050935172079487	9.335877018937461	0.6269784221323079	0.5456990346852142
