rowname	sample_type	exercise	metric	Estimate	Std. Error	df	t value	Pr(>|t|)
1	gut	0	faith_pd	-0.013944948501072398	0.08592688842931616	9.793871717077504	-0.16228853105211152	0.87437798220007
2	gut	0	observed_features	0.28285446738402076	1.1246348262806438	7.403108927373408	0.25150783238632934	0.8082611595949678
3	gut	0	shannon	0.018557637037429606	0.0321287054266042	9.250526757545908	0.5776030123536487	0.5773188540463052
4	gut	1	faith_pd	0.13539949528402329	0.06853752881284003	55.66649232042694	1.9755526297682493	0.05317106736673714
5	gut	1	observed_features	1.576674161233881	1.1729096190160917	65.88783650528045	1.3442418202320583	0.1834803966601488
6	gut	1	shannon	0.03733272495523336	0.02349386297142711	7.551435615567399	1.589041572287915	0.15294866376176913
7	oral	0	faith_pd	0.07324413999225436	0.0520292011298928	86.67419702512338	1.4077506169929015	0.16278139129334931
8	oral	0	observed_features	0.8747901130975044	1.3617342503971588	8.550948415952316	0.6424088347945762	0.5374479085323709
9	oral	0	shannon	-0.0025815075910820113	0.02956122934524267	9.466659973349229	-0.08732747751904496	0.9322306743989341
10	oral	1	faith_pd	-0.011625410460236055	0.08632468981578828	7.753963394255636	-0.13467074697915493	0.8963020711016789
11	oral	1	observed_features	0.1603412857436739	1.4799828622536662	9.241895674361192	0.10833996111246301	0.9160418188956598
12	oral	1	shannon	0.009996370243526223	0.021892177488359157	8.57246011222926	0.45661836283036006	0.659293853077934
